vote_event:id,voter:id,option
21000,3167,yes
21000,4080,absent
21000,4097,yes
21000,3168,yes
21000,3169,yes
21000,3170,yes
21000,3171,yes
21000,3172,yes
21000,4114,yes
21000,4115,yes
21000,4121,not voting
19216,3447,yes
19216,3448,yes
19216,3444,yes
19216,3632,absent
19216,2911,yes
19216,4014,yes
19216,3445,yes
19216,4002,yes
19216,3183,yes
19216,3455,yes
19216,3446,yes
19216,3456,yes
19216,3454,yes
19216,3185,yes
19216,3457,yes
19216,3458,yes
19216,3460,yes
19216,3459,yes
19216,4038,yes
19216,4039,yes
19216,3174,yes
19216,4040,yes
19216,4041,yes
19216,3184,yes
19216,4042,yes
19216,3461,yes
19216,3689,yes
19216,3462,yes
19216,3463,yes
19216,3173,yes
19216,4043,yes
19216,4050,yes
19216,3464,yes
19216,3230,yes
19216,2923,yes
19216,3469,yes
19216,3470,yes
19216,3471,yes
19216,4071,yes
19216,3472,yes
19216,3351,yes
19216,3473,no
19216,3474,yes
19216,3475,absent
19216,3179,yes
19216,4060,yes
19216,3476,absent
19216,3477,yes
19216,4061,yes
19216,4079,yes
19216,3186,yes
19216,3478,yes
19216,3479,yes
19216,3920,yes
19216,3480,yes
19216,3163,yes
19216,3164,yes
19216,3165,yes
19216,3166,yes
19216,3167,yes
19216,4080,yes
19216,4097,yes
19216,3168,yes
19216,3169,absent
19216,3170,yes
19216,3171,yes
19216,3172,yes
19216,4114,yes
19216,4115,absent
19216,4121,absent
21017,3492,yes
21017,3447,yes
21017,3448,yes
21017,3444,yes
21017,3632,yes
21017,2911,absent
21017,4014,not voting
21017,3445,yes
21017,4002,yes
21017,3183,yes
21017,3455,yes
21017,3446,yes
21017,3456,yes
21017,3454,yes
21017,3185,yes
21017,3457,abstain
21017,3458,yes
21017,3460,yes
21017,3459,yes
21017,4038,yes
21017,4039,yes
21017,3174,yes
21017,4040,absent
21017,4041,yes
21017,3184,yes
21017,4042,yes
21017,3461,yes
21017,3689,yes
21017,3462,yes
21017,3463,yes
21017,3173,absent
21017,4043,absent
21017,4050,yes
21017,3464,yes
21017,3230,yes
21017,2923,yes
21017,3469,yes
21017,3470,yes
21017,3471,yes
21017,4071,yes
21017,3472,yes
21017,3351,not voting
21017,3473,yes
21017,3474,yes
21017,3475,absent
21017,3179,yes
21017,3538,yes
21017,3476,absent
21017,3477,yes
21017,4079,yes
21017,3186,yes
21017,3478,abstain
21017,3479,abstain
21017,3920,not voting
21017,3480,yes
21017,3163,yes
21017,3164,absent
21017,3165,yes
21017,3166,absent
21017,3167,yes
21017,4080,yes
21017,4097,yes
21017,3168,yes
21017,3169,yes
21017,3170,yes
21017,3171,yes
21017,3172,absent
21017,4114,yes
21017,4115,yes
21017,4121,yes
19738,3447,yes
19738,3448,yes
19738,3444,yes
19738,3632,yes
19738,2911,absent
19738,4014,yes
19738,3445,yes
19738,4002,absent
19738,3183,yes
19738,3455,yes
19738,3446,yes
19738,3456,not voting
19738,3454,yes
19738,3185,absent
19738,3457,yes
19738,3458,yes
19738,3460,yes
19738,3459,yes
19738,4038,yes
19738,4039,yes
19738,3174,yes
19738,4040,absent
19738,4041,yes
19738,3184,yes
19738,4042,yes
19738,3461,yes
19738,3689,absent
19738,3462,yes
19738,3463,yes
19738,3173,yes
19738,4043,yes
19738,4050,not voting
19738,3464,yes
19738,3230,yes
19738,2923,yes
19738,3469,not voting
19738,3470,not voting
19738,3471,yes
19738,4071,yes
19738,3472,yes
19738,3351,absent
19738,3473,yes
19738,3474,yes
19738,3475,absent
19738,3179,yes
19738,4060,yes
19738,3476,yes
19738,3477,yes
19738,4061,absent
19738,4079,yes
19738,3186,absent
19738,3478,yes
19738,3479,absent
19738,3920,absent
19738,3480,yes
19738,3163,yes
19738,3164,yes
19738,3165,yes
19738,3166,abstain
19738,3167,yes
19738,4080,absent
19738,4097,yes
19738,3168,yes
19738,3169,absent
19738,3170,yes
19738,3171,yes
19738,3172,yes
19738,4114,not voting
19738,4115,yes
19738,4121,yes
21284,3492,yes
21284,3447,yes
21284,3448,yes
21284,3444,yes
21284,3632,yes
21284,2911,yes
21284,4014,yes
21284,3445,yes
21284,4002,yes
21284,3183,yes
21284,3455,yes
21284,3446,absent
21284,3456,yes
21284,3454,yes
21284,3185,absent
21284,3457,yes
21284,3458,yes
21284,3460,yes
21284,3459,yes
21284,4038,yes
21284,4039,yes
21284,3174,yes
21284,4040,absent
21284,4041,yes
21284,3184,yes
21284,4042,yes
21284,3461,yes
21284,3689,yes
21284,3462,yes
21284,3463,yes
21284,3173,absent
21284,4043,yes
21284,4050,yes
21284,3464,yes
21284,3230,yes
21284,2923,yes
21284,3469,yes
21284,3470,absent
21284,3471,yes
21284,4071,absent
21284,3472,yes
21284,3351,yes
21284,3473,yes
21284,3474,yes
21284,3475,yes
21284,3179,absent
21284,3538,absent
21284,3476,absent
21284,3477,yes
21284,4079,yes
21284,3186,yes
21284,3478,yes
