"id","legislative_session:number","motion:title","number","result","start_date","start_time"
"24zmh_2010/h067","24","64. Informativní zpráva o èinnosti Finanèního vıb","67","SCHVÁLENO","20.9.2010","10:07:19"
"24zmh_2010/h068","24","65. Informativní zpráva o èinnosti Kontrolního vı","68","SCHVÁLENO","20.9.2010","10:08:12"
"24zmh_2010/h069","24","66. Informativní zpráva o èinnosti vedení mìsta","69","SCHVÁLENO","20.9.2010","10:09:03"
"24zmh_2010/h070","24","Projekt &quot;Dopravní terminál Havíøov&quot; - úèast statu","70","SCHVÁLENO","20.9.2010","10:10:07"
"23zmh_2010/h001","23","01. Schválení pøedsednictva 23. ZMH dne 21.6.2010","1","SCHVÁLENO","21.6.2010","8:07:56"
"23zmh_2010/h002","23","02. Schválení programu 23. zasedání ZMH dne 21.6.","2","SCHVÁLENO","21.6.2010","8:13:14"
"23zmh_2010/h003","23","03. Schválení ovìøovatelù zápisu z 23. ZMH","3","SCHVÁLENO","21.6.2010","8:15:03"
"23zmh_2010/h004","23","04. Ovìøení zápisu z 22. zasedání ZMH","4","SCHVÁLENO","21.6.2010","8:17:56"
"23zmh_2010/h005","23","05. Kontrola plnìní usnesení ZMH","5","SCHVÁLENO","21.6.2010","8:19:31"
"23zmh_2010/h007","23","06. Havíøovskı seniorskı hokej","7","SCHVÁLENO","21.6.2010","9:21:48"
"23zmh_2010/h008","23","07. Pøíspìvek mìsta pro Sdruení pro pøeloku a v","8","SCHVÁLENO","21.6.2010","9:27:06"
"23zmh_2010/h009","23","08. Èeskı institut interních auditorù - èlenství","9","SCHVÁLENO","21.6.2010","9:27:40"
"23zmh_2010/h010","23","09. Èerpání Fondu pro zvıšení bezpeènosti a ochra","10","SCHVÁLENO","21.6.2010","9:31:11"
"23zmh_2010/h011","23","10. Veøejnoprávní smlouva s obcí Horní Suchá pro","11","SCHVÁLENO","21.6.2010","9:31:51"
"23zmh_2010/h012","23","11. Zámìr prodeje èásti pozemkù parc.è. 261 a par","12","SCHVÁLENO","21.6.2010","9:32:29"
"23zmh_2010/h013","23","12. Zámìr prodeje èásti pozemku parc.è. 1064/2, k","13","SCHVÁLENO","21.6.2010","9:33:13"
"23zmh_2010/h014","23","13. Zámìr smìny èásti pozemku parc.è. 4068, k.ú.H","14","SCHVÁLENO","21.6.2010","9:33:50"
"23zmh_2010/h015","23","14. Zámìr prodeje pozemkù parc.è. 575, 564/1, k.ú","15","SCHVÁLENO","21.6.2010","9:34:28"
"23zmh_2010/h016","23","15. Zámìr prodeje pozemku parc.è. 1629/39, k.ú","16","SCHVÁLENO","21.6.2010","9:35:06"
"23zmh_2010/h017","23","16. Zámìr prodeje èásti pozemku parc.è. 1405/75,","17","SCHVÁLENO","21.6.2010","9:35:43"
"23zmh_2010/h018","23","17. Zámìr prodeje èásti pozemku parc.è. 944/445,","18","SCHVÁLENO","21.6.2010","9:36:24"
"23zmh_2010/h019","23","18. Zámìr prodeje èásti pozemkù parc.è. 2045/6 a","19","SCHVÁLENO","21.6.2010","9:37:10"
"23zmh_2010/h020","23","19. Zámìr smìny pozemkù v k.ú. Havíøov-mìsto","20","SCHVÁLENO","21.6.2010","9:37:43"
"23zmh_2010/h021","23","20. Zámìr smìny pozemku parc.è. 6/6, k.ú. Bludovi","21","SCHVÁLENO","21.6.2010","9:38:18"
"23zmh_2010/h022","23","21. Prodej pozemkù parc.è. 2156/1, 2156/2, 2156/3","22","SCHVÁLENO","21.6.2010","9:39:02"
"23zmh_2010/h023","23","22. Prodej èásti pozemku parc.è. 1695, k.ú. Šumba","23","SCHVÁLENO","21.6.2010","9:39:39"
"23zmh_2010/h024","23","23. Prodej èásti pozemku parc.è. 944/321, k.ú. Šu","24","SCHVÁLENO","21.6.2010","9:40:18"
"23zmh_2010/h028","23","24. Vıstavba hromadnıch garáí na ul. Dìlnická, H","28","SCHVÁLENO","21.6.2010","11:04:52"
"23zmh_2010/h029","23","25. Úplatnı pøevod pozemkù a venkovních úprav kon","29","SCHVÁLENO","21.6.2010","11:06:51"
"23zmh_2010/h030","23","26. Pøevod pozemkù k. ú. Šumbark, které mìsto nab","30","SCHVÁLENO","21.6.2010","11:07:33"
"23zmh_2010/h031","23","27. Bezúplatnı pøevod pozemku parc.è. 2996/5, k.ú","31","SCHVÁLENO","21.6.2010","11:08:42"
"23zmh_2010/h032","23","28. Vıkup pozemku parc.è. 1361, k.ú. Bludovice","32","SCHVÁLENO","21.6.2010","11:09:29"
"23zmh_2010/h033","23","29. Vıkup pozemkù parc.è. 644/1, 1205/9, 1205/16,","33","SCHVÁLENO","21.6.2010","11:10:08"
"23zmh_2010/h034","23","30. Smluvní vztahy pro úèely vıstavby cyklostezek","34","SCHVÁLENO","21.6.2010","11:10:43"
"23zmh_2010/h035","23","31. Zmìna rozsahu vypoøádání pro úèely stavby&quot;Svì","35","SCHVÁLENO","21.6.2010","11:11:20"
"23zmh_2010/h036","23","32. Zrušení vìcného pøedkupního práva na pozemky","36","SCHVÁLENO","21.6.2010","11:12:05"
"23zmh_2010/h037","23","33. Darování stavby kanalizaèní pøípojky v rámci","37","SCHVÁLENO","21.6.2010","11:14:19"
"23zmh_2010/h038","23","34. Pøedání pozemku parc. è. 2195, k.ú. Havíøov","38","SCHVÁLENO","21.6.2010","11:15:04"
"23zmh_2010/h039","23","35. Privatizace bytového fondu v majetku statutár","39","SCHVÁLENO","21.6.2010","11:15:44"
"23zmh_2010/h040","23","36. Zmìna èásti usnesení Zastupitelstva mìsta Hav","40","SCHVÁLENO","21.6.2010","11:16:30"
"23zmh_2010/h041","23","37. Realizace sanace obytného domu, ul. Tolstého","41","SCHVÁLENO","21.6.2010","11:17:13"
"23zmh_2010/h042","23","38. Rozdìlení vıtìku tomboly poøádané pøi konání","42","SCHVÁLENO","21.6.2010","11:17:58"
"23zmh_2010/h043","23","39. Zvıšení pøíspìvku na provoz základních škol v","43","SCHVÁLENO","21.6.2010","11:21:43"
"23zmh_2010/h044","23","40. Zapojení schválené neinvestièní rozpoètové re","44","SCHVÁLENO","21.6.2010","11:22:23"
"23zmh_2010/h045","23","41. Vıjimka z nejnišího poètu ákù pro Základ","45","SCHVÁLENO","21.6.2010","11:23:03"
"23zmh_2010/h046","23","42. Zásady pro udìlování Ceny mìsta Havíøova","46","SCHVÁLENO","21.6.2010","11:23:42"
"23zmh_2010/h047","23","43. Uvolnìní finanèních prostøedkù pro oddíl vole","47","SCHVÁLENO","21.6.2010","11:24:17"
"23zmh_2010/h048","23","44. Návrh na poskytnutí dotací z vıdajové èásti O","48","SCHVÁLENO","21.6.2010","11:25:02"
"23zmh_2010/h049","23","45. Zvıšení finanèních prostøedkù pro investièní","49","SCHVÁLENO","21.6.2010","11:26:36"
"23zmh_2010/h050","23","46. Vyúètování hospodaøení mìsta Havíøova, finanè","50","SCHVÁLENO","21.6.2010","11:34:52"
"23zmh_2010/h051","23","47. Plnìní rozpoètu mìsta Havíøova za období lede","51","SCHVÁLENO","21.6.2010","11:35:52"
"23zmh_2010/h053","23","48. Návrh úprav rozpoètu II. na rok 2010 - rozpoè","53","SCHVÁLENO","21.6.2010","11:53:14"
"23zmh_2010/h054","23","49. Pøíprava rozpoètu mìsta Havíøova na rok 2011","54","SCHVÁLENO","21.6.2010","12:00:41"
"23zmh_2010/h055","23","50. Stanovení investièní strategie pøi správì akt","55","SCHVÁLENO","21.6.2010","12:13:50"
"23zmh_2010/h056","23","51. Rozhodnutí o poøízení zmìny Územního plánu mì","56","SCHVÁLENO","21.6.2010","12:14:29"
"23zmh_2010/h058","23","53. Informativní zpráva o zpracovaném znaleckém p","58","SCHVÁLENO","21.6.2010","12:22:07"
"23zmh_2010/h059","23","54. Informativní zpráva o skuteèném stavu podanıc","59","SCHVÁLENO","21.6.2010","12:24:05"
"23zmh_2010/h060","23","55. Informace o poskytnutí dotace z Regionálního","60","SCHVÁLENO","21.6.2010","12:27:33"
"23zmh_2010/h061","23","56. Informace o poskytnutí dotace z Regionálního","61","SCHVÁLENO","21.6.2010","12:29:11"
"23zmh_2010/h062","23","23. zasedání Zastupitelstva mìsta Havíøova 57. Informace o poskytnutí dotace z Regionálního","62","SCHVÁLENO","21.6.2010","12:29:47"
"23zmh_2010/h063","23","58. Informace o poskytnutí dotace z Regionálního","63","SCHVÁLENO","21.6.2010","12:30:23"
"23zmh_2010/h064","23","59. Informace o poskytnutí dotace z Regionálního","64","SCHVÁLENO","21.6.2010","12:30:56"
"23zmh_2010/h065","23","60. Pøijetí dotace z rozpoètu Moravskoslezského k","65","SCHVÁLENO","21.6.2010","12:31:26"
"23zmh_2010/h066","23","61. Uzavøení smlouvy o spolupráci mìst Havíøov, O","66","SCHVÁLENO","21.6.2010","12:32:03"
"23zmh_2010/h067","23","62. Mìstskı program prevence kriminality na rok 2","67","SCHVÁLENO","21.6.2010","12:32:39"
"23zmh_2010/h068","23","63. KIC Odpady, a.s., Ostrava - informace z jedná","68","SCHVÁLENO","21.6.2010","12:35:14"
"23zmh_2010/h069","23","64. Informace z jednání øádné valné hromady D","69","SCHVÁLENO","21.6.2010","12:35:44"
"23zmh_2010/h070","23","65. Zástupce mìsta v dozorèí radì spoleènosti Dep","70","SCHVÁLENO","21.6.2010","12:36:23"
"23zmh_2010/h071","23","66. Informativní zpráva o èinnosti vedení mìsta","71","SCHVÁLENO","21.6.2010","12:37:02"
"23zmh_2010/h077","23","67. Návrh na poskytnutí dotací z rozpoètu mìsta H","77","SCHVÁLENO","21.6.2010","12:50:56"
"23zmh_2010/h078","23","68. Návrh obecnì závazné vyhlášky o místním popla","78","SCHVÁLENO","21.6.2010","12:51:49"
"22zmh_2010/h001","22","01. Schválení pøedsednictva 22. zasedání ZMH dne","1","SCHVÁLENO","29.3.2010","8:10:41"
"22zmh_2010/h002","22","02. Schválení programu 22. zasedání ZMH dne 29.3.","2","SCHVÁLENO","29.3.2010","8:14:25"
"22zmh_2010/h003","22","03. Schválení ovìøovatelù zápisu z 22. zasedání Z","3","SCHVÁLENO","29.3.2010","8:16:44"
"22zmh_2010/h004","22","04. Ovìøení zápisu z 21. zasedání ZMH, konaného d","4","SCHVÁLENO","29.3.2010","8:19:12"
"22zmh_2010/h005","22","05. Kontrola plnìní usnesení ZMH","5","SCHVÁLENO","29.3.2010","8:22:16"
"22zmh_2010/h006","22","06. Navıšení pøíspìvku na provoz na rok 2010 pro","6","SCHVÁLENO","29.3.2010","8:23:27"
"22zmh_2010/h007","22","07. Plnìní rozpoètu mìsta Havíøova a hospodáøsk","7","SCHVÁLENO","29.3.2010","8:28:49"
"22zmh_2010/h008","22","08. Vyúètování hospodaøení mìstem zøízenıch pøísp","8","SCHVÁLENO","29.3.2010","8:29:56"
"22zmh_2010/h009","22","09. Návrh úprav rozpoètu I. na rok 2010 - rozpoèt","9","SCHVÁLENO","29.3.2010","8:32:38"
"22zmh_2010/h014","22","10. Správa aktiv pro mìsto Havíøov","14","SCHVÁLENO","29.3.2010","9:29:08"
"22zmh_2010/h015","22","11. Privatizace bytového fondu v majetku statutár","15","SCHVÁLENO","29.3.2010","9:30:08"
"22zmh_2010/h016","22","12. Zámìr prodeje pozemkù parc.è. 2156/1, 2156/2,","16","SCHVÁLENO","29.3.2010","9:30:57"
"22zmh_2010/h017","22","13. Zámìr prodeje èásti pozemku parc.è. 944/321,","17","SCHVÁLENO","29.3.2010","9:31:37"
"22zmh_2010/h018","22","14. Zámìr prodeje pozemku parc.è. 2054/2, k.ú. Bl","18","SCHVÁLENO","29.3.2010","9:32:17"
"22zmh_2010/h019","22","15. Zámìr prodeje pozemku parc. è. 4601, k.ú. Hav","19","SCHVÁLENO","29.3.2010","9:32:55"
"22zmh_2010/h020","22","16. Zámìr prodeje èásti pozemku parc.è. 1695, k.ú","20","SCHVÁLENO","29.3.2010","9:33:37"
"22zmh_2010/h021","22","17. Zámìr prodeje èásti pozemku parc.è. 1064/2, k","21","SCHVÁLENO","29.3.2010","9:34:22"
"22zmh_2010/h022","22","18. Zámìr prodeje èásti pozemkù parc.è. 2164 a pa","22","SCHVÁLENO","29.3.2010","9:35:07"
"22zmh_2010/h023","22","19. Zámìr prodeje èásti pozemku parc.è. 2720/1 a","23","SCHVÁLENO","29.3.2010","9:36:01"
"22zmh_2010/h024","22","20. Zámìr prodeje èásti pozemku parc.è. 2453/4, k","24","SCHVÁLENO","29.3.2010","9:38:57"
"22zmh_2010/h025","22","21. Zámìr pøevodu pozemku parc.è. 2996/5, k.ú. Bl","25","SCHVÁLENO","29.3.2010","9:41:08"
"22zmh_2010/h027","22","22. Vıstavba hromadnıch garáí na ul. Dìlnická, H","27","SCHVÁLENO","29.3.2010","10:41:45"
"22zmh_2010/h028","22","23. Prodej èásti pozemku parc.è. 6/1, k.ú. Bludov","28","SCHVÁLENO","29.3.2010","10:42:41"
"22zmh_2010/h029","22","24. Prodej pozemku parc.è.1507/5, k.ú. Prostøední","29","SCHVÁLENO","29.3.2010","10:43:18"
"22zmh_2010/h030","22","25. Prodej pozemku parc.è. 1358/10, k.ú. Bludovi","30","SCHVÁLENO","29.3.2010","10:43:52"
"22zmh_2010/h031","22","26. Majetkoprávní vypoøádání v rámci investièní a","31","SCHVÁLENO","29.3.2010","10:44:35"
"22zmh_2010/h032","22","27. Smluvní vztahy pro úèely vıstavby cyklostezek","32","SCHVÁLENO","29.3.2010","10:45:12"
"22zmh_2010/h033","22","28. Vıkup èásti pozemku parc. è. 1697/2, k.ú. Pro","33","SCHVÁLENO","29.3.2010","10:45:59"
"22zmh_2010/h034","22","29. Vıkup pozemku parc. è. 2662/2, k. ú. Prostøed","34","SCHVÁLENO","29.3.2010","10:46:44"
"22zmh_2010/h035","22","30. Vıkup pozemku parc.è.176/1, k.ú. Dolní Datynì","35","SCHVÁLENO","29.3.2010","10:47:47"
"22zmh_2010/h036","22","31. Vıkup pozemku parc. è. 106/1, k.ú. Dolní Daty","36","SCHVÁLENO","29.3.2010","10:48:30"
"22zmh_2010/h037","22","32. Vıkup pozemkù parc.è. 298/1, 299 a 300/1 v k.","37","SCHVÁLENO","29.3.2010","10:49:12"
"22zmh_2010/h038","22","33. Vıkup pozemku parc. è. 2025/165, k.ú. Prostø","38","SCHVÁLENO","29.3.2010","10:50:00"
"22zmh_2010/h039","22","34. Pøedání dlouhodobého majetku pøíspìvkové org","39","SCHVÁLENO","29.3.2010","10:51:53"
"22zmh_2010/h040","22","35. Bezúplatnı pøevod neupotøebitelného majetku","40","SCHVÁLENO","29.3.2010","10:52:31"
"22zmh_2010/h041","22","36. Zvıšení pøíspìvku na provoz základních škol","41","SCHVÁLENO","29.3.2010","10:55:35"
"22zmh_2010/h042","22","37. Poskytnutí dotace na provoz soukromım mateøsk","42","SCHVÁLENO","29.3.2010","10:56:16"
"22zmh_2010/h043","22","38. Zapojení schválené neinvestièní rozpoètové re","43","SCHVÁLENO","29.3.2010","10:56:58"
"22zmh_2010/h044","22","39. Zvıšení pøíspìvku na provoz MŠ Petøvaldská","44","SCHVÁLENO","29.3.2010","10:57:38"
"22zmh_2010/h045","22","40. HC Havíøov Panthers, obèanské sdruení - info","45","SCHVÁLENO","29.3.2010","10:59:34"
"22zmh_2010/h046","22","41. Uvolnìní finanèních prostøedkù pro oddíl vole","46","SCHVÁLENO","29.3.2010","11:00:13"
"22zmh_2010/h047","22","42. Informativní zpráva k plnìní usnesení","47","SCHVÁLENO","29.3.2010","11:01:06"
"22zmh_2010/h048","22","43. Vyúètování poskytnutıch dotací z rozpoètu mìs","48","SCHVÁLENO","29.3.2010","11:01:47"
"22zmh_2010/h049","22","44. Návrh na poskytnutí dotací z rozpoètu mìsta H","49","SCHVÁLENO","29.3.2010","11:06:48"
"22zmh_2010/h050","22","45. Uzavøení Memoranda o spolupráci mezi odborem","50","SCHVÁLENO","29.3.2010","11:07:34"
"22zmh_2010/h052","22","46. Rozhodnutí o poøízení zmìny Územního plánu mì","52","SCHVÁLENO","29.3.2010","11:16:22"
"22zmh_2010/h055","22","48. Informativní zpráva o skuteèném stavu podanıc","55","SCHVÁLENO","29.3.2010","11:29:02"
"22zmh_2010/h056","22","49. &quot;Roèní monitorovací zpráva o postupu realizac","56","SCHVÁLENO","29.3.2010","11:29:52"
"22zmh_2010/h057","22","50. &quot;Roèní monitorovací zpráva o postupu realizac","57","SCHVÁLENO","29.3.2010","11:30:39"
"22zmh_2010/h058","22","51. Informace o sankèních opatøeních a poskytnutı","58","SCHVÁLENO","29.3.2010","11:31:16"
"22zmh_2010/h059","22","52. Informativní zpráva o pohledávkách mìsta nad","59","SCHVÁLENO","29.3.2010","11:31:57"
"22zmh_2010/h060","22","53. Návrh na zmìnu zøizovací listiny Domov senior","60","SCHVÁLENO","29.3.2010","11:32:41"
"22zmh_2010/h061","22","54. Pøíprava mezinárodní soutìe Europa Cup 2011","61","SCHVÁLENO","29.3.2010","11:35:58"
"22zmh_2010/h062","22","55. Poèet èlenù ZMH ve volebním období 2010 - 201","62","SCHVÁLENO","29.3.2010","11:36:52"
"22zmh_2010/h064","22","56. Pøehled investièních akcí a velkıch oprav v r","64","SCHVÁLENO","29.3.2010","11:45:11"
"22zmh_2010/h065","22","57. Uzavøení nové dohody o pøátelství mezi mìstem","65","SCHVÁLENO","29.3.2010","11:59:33"
"22zmh_2010/h066","22","58. Zmìna Jednacího øádu KV ZMH","66","SCHVÁLENO","29.3.2010","12:00:13"
"22zmh_2010/h067","22","59. Informativní zpráva o èinnosti vedení mìsta","67","SCHVÁLENO","29.3.2010","12:00:49"
"21zmh_2010/h001","21","01. Schválení pøedsednictva 21. zasedání ZMH","1","SCHVÁLENO","25.1.2010","9:12:51"
"21zmh_2010/h002","21","02. Schválení programu 21. zasedání ZMH","2","SCHVÁLENO","25.1.2010","9:15:19"
"21zmh_2010/h003","21","03. Schválení ovìøovatelù zápisu z 21. zasedání","3","SCHVÁLENO","25.1.2010","9:17:39"
"21zmh_2010/h004","21","04. Ovìøení zápisu z 20. zasedání ZMH","4","SCHVÁLENO","25.1.2010","9:19:25"
"21zmh_2010/h005","21","","5","SCHVÁLENO","25.1.2010","9:33:42"
"21zmh_2010/h006","21","05. Kontrola plnìní usnesení ZMH","6","SCHVÁLENO","25.1.2010","9:34:31"
"21zmh_2010/h007","21","06. Vyhodnocení stavu veøejného poøádku z hledisk","7","SCHVÁLENO","25.1.2010","9:47:01"
"21zmh_2010/h008","21","07. Mìstskı program prevence kriminality na rok 2010","8","SCHVÁLENO","25.1.2010","9:47:50"
"21zmh_2010/h009","21","08. Návrh úprav rozpoètu VI. na rok 2009 - rozpoè","9","SCHVÁLENO","25.1.2010","9:49:14"
"21zmh_2010/h010","21","09. Plnìní rozpoètu mìsta Havíøova a hospodáøské","10","SCHVÁLENO","25.1.2010","9:49:55"
"21zmh_2010/h011","21","10. Zmìna èásti usnesení Zastupitelstva mìsta Hav","11","SCHVÁLENO","25.1.2010","9:51:01"
"21zmh_2010/h012","21","11. Prodej bytu na ul. Klidná 793/17, Havíøov - Mìsto","12","SCHVÁLENO","25.1.2010","9:51:41"
"21zmh_2010/h013","21","12. Smlouva o spolupráci pøi rozvoji Areálu Dukla","13","SCHVÁLENO","25.1.2010","10:28:56"
"21zmh_2010/h014","21","13. Pøevody nemovitostí v rámci projektu na rege","14","SCHVÁLENO","25.1.2010","10:30:07"
