vote_event:id,voter:id,option
8-8,"Franta, Vojtìch",for
8-9,"Franta, Vojtìch",for
8-10,"Franta, Vojtìch",for
8-11,"Franta, Vojtìch",for
8-12,"Franta, Vojtìch",for
8-13,"Franta, Vojtìch",for
8-14,"Franta, Vojtìch",for
8-15,"Franta, Vojtìch",for
8-16,"Franta, Vojtìch",for
8-17,"Franta, Vojtìch",for
8-18,"Franta, Vojtìch",for
8-19,"Franta, Vojtìch",for
8-20,"Franta, Vojtìch",for
8-21,"Franta, Vojtìch",for
8-22,"Franta, Vojtìch",abstain
8-23,"Franta, Vojtìch",abstain
8-24,"Franta, Vojtìch",for
8-25,"Franta, Vojtìch",for
8-26,"Franta, Vojtìch",for
8-27,"Franta, Vojtìch",for
8-28,"Franta, Vojtìch",for
8-29,"Franta, Vojtìch",for
8-30,"Franta, Vojtìch",for
8-31,"Franta, Vojtìch",for
8-32,"Franta, Vojtìch",for
8-33,"Franta, Vojtìch",for
8-34,"Franta, Vojtìch",for
8-35,"Franta, Vojtìch",for
8-36,"Franta, Vojtìch",for
8-37,"Franta, Vojtìch",for
8-38,"Franta, Vojtìch",for
8-39,"Franta, Vojtìch",for
8-40,"Franta, Vojtìch",for
8-41,"Franta, Vojtìch",for
9-1,"Franta, Vojtìch",for
9-2,"Franta, Vojtìch",for
9-3,"Franta, Vojtìch",for
9-4,"Franta, Vojtìch",for
9-5,"Franta, Vojtìch",for
9-6,"Franta, Vojtìch",for
9-7,"Franta, Vojtìch",for
9-8,"Franta, Vojtìch",for
9-9,"Franta, Vojtìch",for
9-10,"Franta, Vojtìch",for
9-11,"Franta, Vojtìch",for
9-12,"Franta, Vojtìch",for
9-13,"Franta, Vojtìch",for
9-14,"Franta, Vojtìch",for
9-15,"Franta, Vojtìch",for
9-16,"Franta, Vojtìch",for
9-17,"Franta, Vojtìch",for
9-18,"Franta, Vojtìch",for
9-19,"Franta, Vojtìch",for
9-20,"Franta, Vojtìch",for
9-21,"Franta, Vojtìch",for
9-22,"Franta, Vojtìch",for
9-23,"Franta, Vojtìch",for
9-24,"Franta, Vojtìch",for
9-25,"Franta, Vojtìch",for
9-26,"Franta, Vojtìch",for
9-27,"Franta, Vojtìch",for
9-28,"Franta, Vojtìch",abstain
9-29,"Franta, Vojtìch",for
9-30,"Franta, Vojtìch",for
9-31,"Franta, Vojtìch",for
9-32,"Franta, Vojtìch",for
9-33,"Franta, Vojtìch",for
9-34,"Franta, Vojtìch",for
9-35,"Franta, Vojtìch",for
9-36,"Franta, Vojtìch",for
9-37,"Franta, Vojtìch",for
9-38,"Franta, Vojtìch",for
10-1,"Franta, Vojtìch",for
10-2,"Franta, Vojtìch",for
10-3,"Franta, Vojtìch",for
10-4,"Franta, Vojtìch",for
10-5,"Franta, Vojtìch",for
10-6,"Franta, Vojtìch",for
10-7,"Franta, Vojtìch",for
10-8,"Franta, Vojtìch",for
10-9,"Franta, Vojtìch",for
10-10,"Franta, Vojtìch",for
10-11,"Franta, Vojtìch",for
10-12,"Franta, Vojtìch",for
10-13,"Franta, Vojtìch",for
10-14,"Franta, Vojtìch",for
10-15,"Franta, Vojtìch",for
10-16,"Franta, Vojtìch",for
11-1,"Franta, Vojtìch",for
11-2,"Franta, Vojtìch",for
11-3,"Franta, Vojtìch",for
11-4,"Franta, Vojtìch",for
11-5,"Franta, Vojtìch",for
11-6,"Franta, Vojtìch",for
11-7,"Franta, Vojtìch",for
11-8,"Franta, Vojtìch",for
11-9,"Franta, Vojtìch",for
11-10,"Franta, Vojtìch",for
11-11,"Franta, Vojtìch",for
11-12,"Franta, Vojtìch",for
11-13,"Franta, Vojtìch",for
11-14,"Franta, Vojtìch",for
11-15,"Franta, Vojtìch",for
11-16,"Franta, Vojtìch",for
8-1,"Haas, Libor",for
8-2,"Haas, Libor",for
8-3,"Haas, Libor",for
8-4,"Haas, Libor",for
8-5,"Haas, Libor",for
8-6,"Haas, Libor",for
8-7,"Haas, Libor",for
8-8,"Haas, Libor",for
8-9,"Haas, Libor",for
8-10,"Haas, Libor",for
8-11,"Haas, Libor",for
8-12,"Haas, Libor",for
8-13,"Haas, Libor",for
8-14,"Haas, Libor",for
8-15,"Haas, Libor",for
8-16,"Haas, Libor",for
8-17,"Haas, Libor",for
8-18,"Haas, Libor",for
8-19,"Haas, Libor",for
8-20,"Haas, Libor",for
8-21,"Haas, Libor",for
8-22,"Haas, Libor",for
8-23,"Haas, Libor",for
8-24,"Haas, Libor",for
8-25,"Haas, Libor",for
8-26,"Haas, Libor",for
8-27,"Haas, Libor",for
8-28,"Haas, Libor",for
8-29,"Haas, Libor",for
8-30,"Haas, Libor",for
8-31,"Haas, Libor",for
8-32,"Haas, Libor",for
8-33,"Haas, Libor",for
8-34,"Haas, Libor",abstain
8-35,"Haas, Libor",for
8-36,"Haas, Libor",for
8-37,"Haas, Libor",for
8-38,"Haas, Libor",for
8-39,"Haas, Libor",for
8-40,"Haas, Libor",for
8-41,"Haas, Libor",for
9-1,"Haas, Libor",for
9-2,"Haas, Libor",for
9-3,"Haas, Libor",for
9-4,"Haas, Libor",for
9-5,"Haas, Libor",for
9-6,"Haas, Libor",for
9-7,"Haas, Libor",for
9-8,"Haas, Libor",for
9-9,"Haas, Libor",for
9-10,"Haas, Libor",for
9-11,"Haas, Libor",for
9-12,"Haas, Libor",for
9-13,"Haas, Libor",not voting
9-14,"Haas, Libor",for
9-15,"Haas, Libor",for
9-16,"Haas, Libor",for
9-17,"Haas, Libor",for
9-18,"Haas, Libor",for
9-19,"Haas, Libor",for
9-20,"Haas, Libor",abstain
9-21,"Haas, Libor",for
9-22,"Haas, Libor",for
9-23,"Haas, Libor",for
9-24,"Haas, Libor",for
9-25,"Haas, Libor",for
9-26,"Haas, Libor",for
9-27,"Haas, Libor",for
9-28,"Haas, Libor",for
9-29,"Haas, Libor",for
9-30,"Haas, Libor",for
9-31,"Haas, Libor",for
9-32,"Haas, Libor",for
9-33,"Haas, Libor",for
9-34,"Haas, Libor",for
9-35,"Haas, Libor",for
9-36,"Haas, Libor",for
9-37,"Haas, Libor",for
9-38,"Haas, Libor",for
10-1,"Haas, Libor",for
10-2,"Haas, Libor",for
10-3,"Haas, Libor",abstain
10-4,"Haas, Libor",for
10-5,"Haas, Libor",for
10-6,"Haas, Libor",abstain
10-7,"Haas, Libor",for
10-8,"Haas, Libor",for
10-9,"Haas, Libor",for
10-10,"Haas, Libor",for
10-11,"Haas, Libor",for
10-12,"Haas, Libor",for
10-13,"Haas, Libor",for
10-14,"Haas, Libor",for
10-15,"Haas, Libor",for
10-16,"Haas, Libor",abstain
11-1,"Haas, Libor",for
11-2,"Haas, Libor",for
11-3,"Haas, Libor",for
11-4,"Haas, Libor",for
11-5,"Haas, Libor",for
11-6,"Haas, Libor",for
11-7,"Haas, Libor",for
11-8,"Haas, Libor",abstain
11-9,"Haas, Libor",for
11-10,"Haas, Libor",for
11-11,"Haas, Libor",for
11-12,"Haas, Libor",for
11-13,"Haas, Libor",for
11-14,"Haas, Libor",for
