"id","start_date","start_time","number","motion.title","result","legislative_session.id","legislative_session.number"
"zmb-z7-01/20141125-38-57055","25.11.2014","15:50:56",38," Bod è. 13 Volba neuvolnìnıch pøedsedù, místopøedsedù a èlenù vıborù Zastupitelstva mìsta Brna - èlena Vıboru pro národnostní menšiny Zastupitelstva mìsta Brna - Jiøí Hráèek ","Nepøijato",2862,1
"zmb-z7-01/20141125-39-57083","25.11.2014","15:51:23",39," Bod è. 13 Volba neuvolnìnıch pøedsedù, místopøedsedù a èlenù vıborù Zastupitelstva mìsta Brna - èlena Vıboru pro národnostní menšiny Zastupitelstva mìsta Brna - Bc. Barbora Maáková ","Pøijato",2862,1
"zmb-z7-01/20141125-40-57655","25.11.2014","16:00:56",40," Bod è. 13 Volba neuvolnìnıch pøedsedù, místopøedsedù a èlenù vıborù Zastupitelstva mìsta Brna ","Pøijato",2862,1
"zmb-z7-01/20141125-41-58114","25.11.2014","16:08:34",41," Bod è. 14 Návrh pøíjmù, které mìsto Brno postoupí do rozpoètù mìstskıch èástí v roce 2015 ","Pøijato",2862,1
"zmb-z7-01/20141125-43-62275","25.11.2014","17:17:55",43," Bod è. 15 - bere na vìdomí Vyhlášení místního referenda a rozpoètové opatøení ","Pøijato",2862,1
"zmb-z7-01/20141125-44-62349","25.11.2014","17:19:09",44," Bod è. 15 - návrh p. Andera Vyhlášení místního referenda a rozpoètové opatøení ","Pøijato",2862,1
"zmb-z7-01/20141125-45-63035","25.11.2014","17:30:35",45," Bod è. 16 Harmonogram zasedání Zastupitelstva mìsta Brna do konce roku 2014 a v roce 2015 - 19. 12. 2014 ","Pøijato",2862,1
"zmb-z7-01/20141125-46-63098","25.11.2014","17:31:38",46," Bod è. 16 Harmonogram zasedání Zastupitelstva mìsta Brna v roce 2015 ","Pøijato",2862,1
"zmb-z7-01/20141125-47-65133","25.11.2014","18:05:34",47," Bod è. 17 Prodlouení jednání do 19 hod. nebo do ukonèení programu Návrh na zmìny v orgánech obchodních spoleèností s majetkovou úèastí mìsta ","Pøijato",2862,1
"zmb-z7-01/20141125-48-65592","25.11.2014","18:13:12",48," Bod è. 17 Návrh na zmìny v orgánech obchodních spoleèností s majetkovou úèastí mìsta ","Pøijato",2862,1
"zmb-z7-01/20141125-49-65796","25.11.2014","18:16:36",49," Bod è. 18 Návrh na delegování zástupcù statutárního mìsta Brna na valné hromady obchodních spoleèností s menší ne 100% majetkovou úèastí mìsta ","Pøijato",2862,1
"zmb-z7-02/20141219-1-29733","19.12.2014","8:15:33",1," Bod è. 1 - ovìøovatelé zápisu Technickı bod (zapisovatelky, právní asistence, ovìøovatelé zápisu, schválení programu zasedání ZMB) ","Pøijato",2875,2
"zmb-z7-02/20141219-2-30885","19.12.2014","8:34:45",2," Bod è. 1 - program - návrh na staení bodu è. 7 Technickı bod (zapisovatelky, právní asistence, ovìøovatelé zápisu, schválení programu zasedání ZMB) ","Pøijato",2875,2
"zmb-z7-02/20141219-3-30908","19.12.2014","8:35:09",3," Bod è. 1 - program - návrh na staení bodu è. 18 Technickı bod (zapisovatelky, právní asistence, ovìøovatelé zápisu, schválení programu zasedání ZMB) ","Pøijato",2875,2
"zmb-z7-02/20141219-4-30939","19.12.2014","8:35:39",4," Bod è. 1 - program - návrh na staení bodu è. 21 Technickı bod (zapisovatelky, právní asistence, ovìøovatelé zápisu, schválení programu zasedání ZMB) ","Pøijato",2875,2
"zmb-z7-02/20141219-5-30962","19.12.2014","8:36:02",5," Bod è. 1 - program - návrh na staení bodu è. 22 Technickı bod (zapisovatelky, právní asistence, ovìøovatelé zápisu, schválení programu zasedání ZMB) ","Pøijato",2875,2
"zmb-z7-02/20141219-6-30988","19.12.2014","8:36:28",6," Bod è. 1 - program - návrh na staení bodu è. 23 Technickı bod (zapisovatelky, právní asistence, ovìøovatelé zápisu, schválení programu zasedání ZMB) ","Pøijato",2875,2
"zmb-z7-02/20141219-7-31065","19.12.2014","8:37:45",7," Bod è. 1 - program - návrh na zaøazení bodù è. 64 Technickı bod (zapisovatelky, právní asistence, ovìøovatelé zápisu, schválení programu zasedání ZMB) ","Pøijato",2875,2
"zmb-z7-02/20141219-9-31143","19.12.2014","8:39:04",9," Bod è. 1 - program - návrh na zaøazení bodu è. 66 Technickı bod (zapisovatelky, právní asistence, ovìøovatelé zápisu, schválení programu zasedání ZMB) ","Pøijato",2875,2
"zmb-z7-02/20141219-11-31356","19.12.2014","8:42:36",11," Bod è. 1 - program - návrh na zaøazení bodu è. 65 Technickı bod (zapisovatelky, právní asistence, ovìøovatelé zápisu, schválení programu zasedání ZMB) ","Pøijato",2875,2
"zmb-z7-02/20141219-12-31405","19.12.2014","8:43:25",12," Bod è. 1 - program - návrh na zaøazení bodu è. 68 Technickı bod (zapisovatelky, právní asistence, ovìøovatelé zápisu, schválení programu zasedání ZMB) ","Pøijato",2875,2
"zmb-z7-02/20141219-13-31442","19.12.2014","8:44:02",13," Bod è. 1 - program Technickı bod (zapisovatelky, právní asistence, ovìøovatelé zápisu, schválení programu zasedání ZMB) ","Pøijato",2875,2
"zmb-z7-02/20141219-14-32783","19.12.2014","9:06:23",14," Bod è. 2 Prodlouení èasu pro vystoupení obèanù o 30 min. Dotazy, pøipomínky a podnìty obèanù ","Pøijato",2875,2
"zmb-z7-02/20141219-15-34041","19.12.2014","9:27:21",15," Bod è. 4 Návrh na udìlení Ceny mìsta Brna pro rok 2014 ","Pøijato",2875,2
"zmb-z7-02/20141219-16-34072","19.12.2014","9:27:52",16," Bod è. 5 Návrh na zmìnu Statutu vıborù Zastupitelstva mìsta Brna ","Pøijato",2875,2
"zmb-z7-02/20141219-17-34173","19.12.2014","9:29:33",17," Bod è. 6 Doplòující volba èlenù Vıboru pro národnostní menšiny ZMB Volební komise - Crha, Karasová, Fajnorová, Hráèek, Hofmannová ","Pøijato",2875,2
"zmb-z7-02/20141219-18-34687","19.12.2014","9:38:07",18," Bod è. 6 Doplòující volba èlenù Vıboru pro národnostní menšiny ZMB - Ilnara Dudash, Martina Horváthová, Vangelis Liolios, Ljubov Vondroušková ","Pøijato",2875,2
"zmb-z7-02/20141219-19-35736","19.12.2014","9:55:36",19," Bod è. 8 - odst. 3 Odmìòování neuvolnìnıch èlenù ZMB a èlenù komisí/vıborù (neèlenù ZMB) ","Pøijato",2875,2
"zmb-z7-02/20141219-20-35760","19.12.2014","9:56:00",20," Bod è. 8 Odmìòování neuvolnìnıch èlenù ZMB a èlenù komisí/vıborù (neèlenù ZMB) ","Pøijato",2875,2
"zmb-z7-02/20141219-21-37295","19.12.2014","10:21:35",21," Bod è. 9 - návrh p. Ulipa Návrh obecnì závazné vyhlášky statutárního mìsta Brna, kterou se mìní obecnì závazná vyhláška statutárního mìsta Brna è. 1/2014 o regulaci provozu loterií a jinıch podobnıch her a stanovení opatøení k zabezpeèení místních záleitostí veøejného poøádku, ve znìní obecnì závazné vyhlášky statutárního mìsta Brna è. 9/2014 ","Pøijato",2875,2
"zmb-z7-02/20141219-23-37419","19.12.2014","10:23:39",23," Bod è. 9 - èl. 2 Návrh obecnì závazné vyhlášky statutárního mìsta Brna, kterou se mìní obecnì závazná vyhláška statutárního mìsta Brna è. 1/2014 o regulaci provozu loterií a jinıch podobnıch her a stanovení opatøení k zabezpeèení místních záleitostí veøejného poøádku, ve znìní obecnì závazné vyhlášky statutárního mìsta Brna è. 9/2014 ","Pøijato",2875,2
"zmb-z7-02/20141219-24-37457","19.12.2014","10:24:17",24," Bod è. 9 Návrh obecnì závazné vyhlášky statutárního mìsta Brna, kterou se mìní obecnì závazná vyhláška statutárního mìsta Brna è. 1/2014 o regulaci provozu loterií a jinıch podobnıch her a stanovení opatøení k zabezpeèení místních záleitostí veøejného poøádku, ve znìní obecnì závazné vyhlášky statutárního mìsta Brna è. 9/2014 ","Pøijato",2875,2
