"group:id","option","vote_event:id","voter:id"
"ODS","Zdržel se","zmb-z7-01/20141125-11-32174","Petr Kratochvíl"
"ODS","Zdržel se","zmb-z7-01/20141125-11-32174","Libor Šťástka"
"ODS","Nehlasoval","zmb-z7-01/20141125-11-32174","František Vižďa"
"SZ","Ano","zmb-z7-01/20141125-11-32174","Martin Ander"
"SZ","Ano","zmb-z7-01/20141125-11-32174","Jana Drápalová"
"SZ","Ano","zmb-z7-01/20141125-11-32174","Ivana Fajnorová"
"SZ","Ano","zmb-z7-01/20141125-11-32174","Mojmír Vlašín"
"TOP 09","Ano","zmb-z7-01/20141125-11-32174","Josef Drbal"
"TOP 09","Ano","zmb-z7-01/20141125-11-32174","Zdeňka Dubová"
"TOP 09","Ano","zmb-z7-01/20141125-11-32174","Jaroslav Kacer"
"TOP 09","Ano","zmb-z7-01/20141125-11-32174","Pavel Urubek"
"ŽTB","Ano","zmb-z7-01/20141125-11-32174","Martin Freund"
"ŽTB","Ano","zmb-z7-01/20141125-11-32174","Karla Hofmannová"
"ŽTB","Ano","zmb-z7-01/20141125-11-32174","Jan Hollan"
"ŽTB","Ano","zmb-z7-01/20141125-11-32174","Matěj Hollan"
"ŽTB","Ano","zmb-z7-01/20141125-11-32174","Hana Kašpaříková"
"ŽTB","Ano","zmb-z7-01/20141125-11-32174","Tomáš Koláčný"
"ŽTB","Ano","zmb-z7-01/20141125-11-32174","Jiří Ulip"
"ANO 2011","Ano","zmb-z7-01/20141125-12-32363","Lubora Bednaříková"
"ANO 2011","Ano","zmb-z7-01/20141125-12-32363","Petr Bořecký"
"ANO 2011","Ano","zmb-z7-01/20141125-12-32363","Marek Janíček"
"ANO 2011","Ano","zmb-z7-01/20141125-12-32363","Karin Karasová"
"ANO 2011","Ano","zmb-z7-01/20141125-12-32363","Tomáš Kratochvíl"
"ANO 2011","Ano","zmb-z7-01/20141125-12-32363","Barbora Maťáková"
"ANO 2011","Ano","zmb-z7-01/20141125-12-32363","Richard Mrázek"
"ANO 2011","Ano","zmb-z7-01/20141125-12-32363","René Novotný"
"ANO 2011","Ano","zmb-z7-01/20141125-12-32363","Robert Plaga"
"ANO 2011","Ano","zmb-z7-01/20141125-12-32363","Petra Rusňáková"
"ANO 2011","Ano","zmb-z7-01/20141125-12-32363","Martin Schwab"
"ANO 2011","Ano","zmb-z7-01/20141125-12-32363","Pavel Staněk"
"ANO 2011","Ano","zmb-z7-01/20141125-12-32363","Petr Vokřál"
